,Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
0,USA,North America,331198130,5032179,162804,2576668,2292707,18296,15194.0,492.0,63139605,190640.0,Americas
1,Brazil,South America,212710692,2917562,98644,2047660,771258,8318,13716.0,464.0,13206188,62085.0,Americas
2,India,Asia,1381344997,2025409,41638,1377384,606387,8944,1466.0,30.0,22149351,16035.0,South-EastAsia
3,Russia,Europe,145940924,871894,14606,676357,180931,2300,5974.0,100.0,29716907,203623.0,Europe
4,South Africa,Africa,59381566,538184,9604,387316,141264,539,9063.0,162.0,3149807,53044.0,Africa
5,Mexico,North America,129066160,462690,50517,308848,103325,3987,3585.0,391.0,1056915,8189.0,Americas
6,Peru,South America,33016319,455409,20424,310337,124648,1426,13793.0,619.0,2493429,75521.0,Americas
7,Chile,South America,19132514,366671,9889,340168,16614,1358,19165.0,517.0,1760615,92022.0,Americas
8,Colombia,South America,50936262,357710,11939,192355,153416,1493,7023.0,234.0,1801835,35374.0,Americas
9,Spain,Europe,46756648,354530,28500,0,0,617,7582.0,610.0,7064329,151087.0,Europe
10,Iran,Asia,84097623,320117,17976,277463,24678,4156,3806.0,214.0,2612763,31068.0,EasternMediterranean
11,UK,Europe,67922029,308134,46413,0,0,73,4537.0,683.0,17515234,257873.0,Europe
12,Saudi Arabia,Asia,34865919,284226,3055,247089,34082,1915,8152.0,88.0,3635705,104277.0,EasternMediterranean
13,Pakistan,Asia,221295851,281863,6035,256058,19770,809,1274.0,27.0,2058872,9304.0,EasternMediterranean
14,Bangladesh,Asia,164851401,249651,3306,143824,102521,0,1514.0,20.0,1225124,7432.0,South-EastAsia
15,Italy,Europe,60452568,249204,35187,201323,12694,42,4122.0,582.0,7099713,117443.0,Europe
16,Turkey,Asia,84428331,237265,5798,220546,10921,580,2810.0,69.0,5081802,60191.0,Europe
17,Argentina,South America,45236884,228195,4251,99852,124092,1150,5044.0,94.0,794544,17564.0,Americas
18,Germany,Europe,83811260,215210,9252,196200,9758,236,2568.0,110.0,8586648,102452.0,Europe
19,France,Europe,65288306,195633,30312,82460,82861,384,2996.0,464.0,3992206,61147.0,Europe
20,Iraq,Asia,40306025,140603,5161,101025,34417,517,3488.0,128.0,1092741,27111.0,EasternMediterranean
21,Philippines,Asia,109722719,119460,2150,66837,50473,239,1089.0,20.0,1669996,15220.0,WesternPacific
22,Indonesia,Asia,273808365,118753,5521,75645,37587,0,434.0,20.0,1633156,5965.0,South-EastAsia
23,Canada,North America,37775022,118561,8966,103106,6489,2263,3139.0,237.0,4319172,114339.0,Americas
24,Qatar,Asia,2807805,112092,178,108831,3083,77,39922.0,63.0,511000,181993.0,EasternMediterranean
25,Kazakhstan,Asia,18798667,95942,1058,68871,26013,221,5104.0,56.0,2163713,115099.0,Europe
26,Egypt,Africa,102516525,95006,4951,48898,41157,41,927.0,48.0,135000,1317.0,EasternMediterranean
27,Ecuador,South America,17668824,90537,5877,71318,13342,378,5124.0,333.0,258582,14635.0,Americas
28,Bolivia,South America,11688459,86423,3465,27373,55585,71,7394.0,296.0,183583,15706.0,Americas
29,Sweden,Europe,10105596,81967,5766,0,0,38,8111.0,571.0,863315,85429.0,Europe
30,Oman,Asia,5118446,80713,492,70910,9311,177,15769.0,96.0,309212,60411.0,EasternMediterranean
31,Israel,Asia,9197590,79559,576,53427,25556,358,8650.0,63.0,1872453,203581.0,Europe
32,Ukraine,Europe,43705858,76808,1819,42524,32465,158,1757.0,42.0,1116641,25549.0,Europe
33,Dominican Republic,North America,10858648,76536,1246,40539,34751,317,7048.0,115.0,281926,25963.0,Americas
34,Panama,North America,4321282,71418,1574,45658,24186,161,16527.0,364.0,240995,55769.0,Americas
35,Belgium,Europe,11594739,71158,9859,17661,43638,61,6137.0,850.0,1767120,152407.0,Europe
36,Kuwait,Asia,4276658,70045,469,61610,7966,127,16378.0,110.0,522200,122105.0,EasternMediterranean
37,Belarus,Europe,9449001,68503,580,63756,4167,0,7250.0,61.0,1344303,142269.0,Europe
38,UAE,Asia,9902079,61845,354,55739,5752,0,6246.0,36.0,5262658,531470.0,EasternMediterranean
39,Romania,Europe,19224023,57895,2566,28992,26337,458,3012.0,133.0,1319369,68631.0,Europe
40,Netherlands,Europe,17138756,56982,6153,0,0,37,3325.0,359.0,1079860,63007.0,Europe
41,Singapore,Asia,5854932,54555,27,48031,6497,0,9318.0,5.0,1474372,251817.0,WesternPacific
42,Guatemala,North America,17946899,54339,2119,42070,10150,5,3028.0,118.0,172712,9624.0,Americas
43,Portugal,Europe,10193593,52061,1743,37840,12478,42,5107.0,171.0,1705474,167308.0,Europe
44,Poland,Europe,37842302,49515,1774,35642,12099,72,1308.0,47.0,2374686,62752.0,Europe
45,Nigeria,Africa,206606300,45244,930,32430,11884,7,219.0,5.0,306894,1485.0,Africa
46,Honduras,North America,9919704,45098,1423,6116,37559,52,4546.0,143.0,109292,11018.0,Americas
47,Bahrain,Asia,1706669,42889,156,39945,2788,41,25130.0,91.0,876700,513691.0,EasternMediterranean
48,Japan,Asia,126435859,42263,1026,28877,12360,115,334.0,8.0,938739,7425.0,WesternPacific
49,Armenia,Asia,2963811,39819,772,31556,7491,0,13435.0,260.0,171600,57898.0,Europe
50,Ghana,Africa,31133483,39642,199,36384,3059,7,1273.0,6.0,405817,13035.0,Africa
51,Kyrgyzstan,Asia,6534479,38659,1447,30099,7113,24,5916.0,221.0,267718,40970.0,Europe
52,Afghanistan,Asia,39009447,36896,1298,25840,9758,31,946.0,33.0,90396,2317.0,EasternMediterranean
53,Switzerland,Europe,8660952,36108,1985,31600,2523,23,4169.0,229.0,822764,94997.0,Europe
54,Algeria,Africa,43926079,33626,1273,23238,9115,57,766.0,29.0,0,0.0,Africa
55,Azerbaijan,Asia,10148243,33247,479,29275,3493,66,3276.0,47.0,766179,75499.0,Europe
56,Morocco,Africa,36953359,29644,449,20553,8642,31,802.0,12.0,1383816,37448.0,EasternMediterranean
57,Uzbekistan,Asia,33516027,28315,175,19291,8849,228,845.0,5.0,1377915,41112.0,Europe
58,Serbia,Europe,8733665,27332,621,14047,12664,120,3129.0,71.0,723137,82799.0,Europe
59,Moldova,Europe,4032983,26628,828,18676,7124,362,6603.0,205.0,128076,31757.0,Europe
60,Ireland,Europe,4943200,26372,1768,23364,1240,5,5335.0,358.0,652917,132084.0,Europe
61,Kenya,Africa,53881160,24411,399,10444,13568,44,453.0,7.0,335318,6223.0,Africa
62,Venezuela,South America,28427499,22299,195,12146,9958,42,784.0,7.0,1567431,55138.0,Americas
63,Nepal,Asia,29186486,21750,65,15389,6296,0,745.0,2.0,731977,25079.0,South-EastAsia
64,Austria,Europe,9011577,21696,719,19596,1381,25,2408.0,80.0,937275,104008.0,Europe
65,Costa Rica,North America,5098730,21070,200,7038,13832,103,4132.0,39.0,96110,18850.0,Americas
66,Ethiopia,Africa,115223736,20900,365,9027,11508,185,181.0,3.0,468814,4069.0,Africa
67,Australia,Australia/Oceania,25528864,19890,255,10941,8694,52,779.0,10.0,4631419,181419.0,WesternPacific
68,El Salvador,North America,6489514,19126,513,9236,9377,509,2947.0,79.0,251271,38720.0,Americas
69,Czechia,Europe,10711019,17731,390,12320,5021,17,1655.0,36.0,728670,68030.0,Europe
70,Cameroon,Africa,26606188,17718,391,15320,2007,30,666.0,15.0,149000,5600.0,Africa
71,Ivory Coast,Africa,26437950,16447,103,12484,3860,0,622.0,4.0,104584,3956.0,Africa
72,S. Korea,Asia,51273732,14519,303,13543,673,18,283.0,6.0,1613652,31471.0,WesternPacific
73,Denmark,Europe,5794279,14306,617,12787,902,2,2469.0,106.0,1654512,285542.0,Europe
74,Palestine,Asia,5112340,13398,92,6907,6399,0,2621.0,18.0,200280,39176.0,EasternMediterranean
75,Bosnia and Herzegovina,Europe,3278650,13396,384,7042,5970,0,4086.0,117.0,147021,44842.0,Europe
76,Bulgaria,Europe,6942854,13014,435,7374,5205,47,1874.0,63.0,294087,42358.0,Europe
77,Madagascar,Africa,27755708,12526,134,10148,2244,88,451.0,5.0,46301,1668.0,Africa
78,Sudan,Africa,43943536,11780,763,6194,4823,0,268.0,17.0,401,9.0,EasternMediterranean
79,North Macedonia,Europe,2083365,11399,517,7480,3402,3,5471.0,248.0,109946,52773.0,Europe
80,Senegal,Africa,16783877,10715,223,7101,3391,33,638.0,13.0,114761,6838.0,Africa
81,Norway,Europe,5425471,9468,256,8857,355,3,1745.0,47.0,472841,87152.0,Europe
82,DRC,Africa,89802183,9309,215,8048,1046,0,104.0,2.0,0,0.0,Africa
83,Malaysia,Asia,32406372,9038,125,8713,200,2,279.0,4.0,991333,30591.0,WesternPacific
84,French Guiana,South America,299385,8127,47,7240,840,23,27146.0,157.0,41412,138324.0,Unknown
85,Gabon,Africa,2230563,7787,51,5609,2127,11,3491.0,23.0,85369,38272.0,Africa
86,Tajikistan,Asia,9557468,7665,62,6443,1160,0,802.0,6.0,0,0.0,Europe
87,Guinea,Africa,13164905,7664,49,6757,858,24,582.0,4.0,14407,1094.0,Africa
88,Haiti,North America,11416103,7544,171,4832,2541,0,661.0,15.0,18443,1616.0,Americas
89,Finland,Europe,5541604,7532,331,6980,221,0,1359.0,60.0,389500,70287.0,Europe
90,Zambia,Africa,18430129,7164,199,5786,1179,0,389.0,11.0,90307,4900.0,Africa
91,Luxembourg,Europe,626952,7073,119,5750,1204,9,11282.0,190.0,623994,995282.0,Europe
92,Mauritania,Africa,4660728,6444,157,5291,996,3,1383.0,34.0,57387,12313.0,Africa
93,Paraguay,South America,7141091,6375,66,4974,1335,23,893.0,9.0,135277,18943.0,Americas
94,Albania,Europe,2877470,6016,188,3155,2673,23,2091.0,65.0,38997,13553.0,Europe
95,Lebanon,Asia,6822220,5672,70,1974,3628,46,831.0,10.0,345268,50609.0,EasternMediterranean
96,Croatia,Europe,4102577,5404,155,4688,561,7,1317.0,38.0,125317,30546.0,Europe
97,Djibouti,Africa,989387,5330,59,5057,214,0,5387.0,60.0,59909,60552.0,EasternMediterranean
98,Greece,Europe,10417673,5123,210,1374,3539,14,492.0,20.0,619393,59456.0,Europe
99,Libya,Africa,6880353,4879,107,652,4120,0,709.0,16.0,59699,8677.0,EasternMediterranean
100,Equatorial Guinea,Africa,1407001,4821,83,2182,2556,0,3426.0,59.0,44356,31525.0,Africa
101,Maldives,Asia,541448,4680,19,2725,1936,12,8643.0,35.0,85587,158071.0,South-EastAsia
102,CAR,Africa,4837752,4620,59,1641,2920,2,955.0,12.0,29589,6116.0,Unknown
103,Hungary,Europe,9657785,4597,600,3463,534,8,476.0,62.0,352546,36504.0,Europe
104,Malawi,Africa,19174839,4491,137,2137,2217,4,234.0,7.0,33466,1745.0,Africa
105,Zimbabwe,Africa,14883803,4339,84,1264,2991,0,292.0,6.0,140421,9434.0,Africa
106,Nicaragua,North America,6632263,3902,123,2913,866,0,588.0,19.0,0,0.0,Americas
107,Hong Kong,Asia,7503041,3850,46,2458,1346,39,513.0,6.0,692430,92287.0,WesternPacific
108,Congo,Africa,5530506,3546,58,1589,1899,0,641.0,10.0,0,0.0,Africa
109,Montenegro,Europe,628074,3480,60,2178,1242,0,5541.0,96.0,38427,61182.0,Europe
110,Thailand,Asia,69817894,3330,58,3148,124,1,48.0,0.8,749213,10731.0,South-EastAsia
111,Somalia,Africa,15933012,3227,93,1728,1406,2,203.0,6.0,0,0.0,EasternMediterranean
112,Mayotte,Africa,273419,3042,39,2738,265,2,11126.0,143.0,13000,47546.0,Unknown
113,Eswatini,Africa,1161348,2968,55,1476,1437,5,2556.0,47.0,20784,17896.0,Africa
114,Sri Lanka,Asia,21422362,2839,11,2541,287,1,133.0,0.5,166737,7783.0,South-EastAsia
115,Cuba,North America,11325899,2775,88,2409,278,4,245.0,8.0,285471,25205.0,Americas
116,Cabo Verde,Africa,556581,2734,27,2010,697,0,4912.0,49.0,61633,110735.0,Africa
117,Namibia,Africa,2545264,2652,15,563,2074,24,1042.0,6.0,29233,11485.0,Africa
118,Mali,Africa,20302901,2552,124,1954,474,0,126.0,6.0,25152,1239.0,Africa
119,Slovakia,Europe,5459915,2480,29,1824,627,2,454.0,5.0,272322,49877.0,Europe
120,South Sudan,Africa,11206572,2450,47,1175,1228,0,219.0,4.0,12044,1075.0,Africa
121,Slovenia,Europe,2078968,2223,125,1909,189,2,1069.0,60.0,135702,65274.0,Europe
122,Lithuania,Europe,2718121,2171,81,1656,434,6,799.0,30.0,540784,198955.0,Europe
123,Estonia,Europe,1326627,2124,63,1954,107,0,1601.0,47.0,122880,92626.0,Europe
124,Mozambique,Africa,31333962,2120,15,795,1310,0,68.0,0.5,65151,2079.0,Africa
125,Rwanda,Africa,12981546,2111,5,1258,848,0,163.0,0.4,286251,22051.0,Africa
126,Suriname,South America,587154,2096,29,1446,621,9,3570.0,49.0,2785,4743.0,Americas
127,Guinea-Bissau,Africa,1972277,2032,27,944,1061,5,1030.0,14.0,1500,761.0,Africa
128,Benin,Africa,12151976,1936,38,1600,298,1,159.0,3.0,93677,7709.0,Africa
129,Iceland,Europe,341465,1930,10,1825,95,0,5652.0,29.0,149693,438385.0,Europe
130,Sierra Leone,Africa,7992169,1877,67,1427,383,0,235.0,8.0,0,0.0,Africa
131,Yemen,Asia,29886897,1768,508,898,362,0,59.0,17.0,120,4.0,EasternMediterranean
132,Tunisia,Africa,11830801,1642,51,1241,350,9,139.0,4.0,100298,8478.0,EasternMediterranean
133,New Zealand,Australia/Oceania,5002100,1569,22,1524,23,0,314.0,4.0,486943,97348.0,WesternPacific
134,Angola,Africa,32956300,1483,64,520,899,20,45.0,2.0,64747,1965.0,Africa
135,Uruguay,South America,3474956,1318,37,1079,202,2,379.0,11.0,126956,36535.0,Americas
136,Latvia,Europe,1883936,1275,32,1070,173,0,677.0,17.0,207909,110359.0,Europe
137,Jordan,Asia,10213138,1232,11,1171,50,3,121.0,1.0,628745,61562.0,EasternMediterranean
138,Liberia,Africa,5068618,1224,78,705,441,0,241.0,15.0,0,0.0,Africa
139,Uganda,Africa,45867852,1223,5,1102,116,0,27.0,0.1,288367,6287.0,Africa
140,Cyprus,Asia,1208238,1208,19,856,333,0,1000.0,16.0,216597,179267.0,Europe
141,Georgia,Asia,3988368,1206,17,987,202,0,302.0,4.0,240473,60294.0,Europe
142,Burkina Faso,Africa,20954852,1158,54,961,143,0,55.0,3.0,0,0.0,Africa
143,Niger,Africa,24281433,1153,69,1057,27,0,47.0,3.0,9052,373.0,Africa
144,Togo,Africa,8296582,1012,22,697,293,2,122.0,3.0,45767,5516.0,Africa
145,Syria,Asia,17539600,999,48,311,640,0,57.0,3.0,0,0.0,EasternMediterranean
146,Jamaica,North America,2962478,958,12,745,201,0,323.0,4.0,41840,14123.0,Americas
147,Malta,Europe,441663,946,9,670,267,0,2142.0,20.0,136713,309541.0,Europe
148,Andorra,Europe,77278,944,52,828,64,1,12216.0,673.0,3750,48526.0,Europe
149,Chad,Africa,16467965,942,76,838,28,0,57.0,5.0,0,0.0,Africa
150,Gambia,Africa,2422754,935,16,136,783,0,386.0,7.0,5183,2139.0,Africa
151,Sao Tome and Principe,Africa,219544,878,15,797,66,0,3999.0,68.0,3079,14025.0,Africa
152,Botswana,Africa,2356075,804,2,63,739,1,341.0,0.8,68423,29041.0,Africa
153,Bahamas,North America,393616,761,14,91,656,1,1933.0,36.0,4814,12230.0,Americas
154,Vietnam,Asia,97425470,747,10,392,345,0,8.0,0.1,482456,4952.0,WesternPacific
155,Lesotho,Africa,2143943,742,23,175,544,0,346.0,11.0,8771,4091.0,Africa
157,San Marino,Europe,33938,699,42,657,0,0,20596.0,1238.0,6068,178797.0,Europe
158,Réunion,Africa,895952,671,5,592,74,3,749.0,6.0,35419,39532.0,Unknown
159,Channel Islands,Europe,174022,597,47,533,17,0,3431.0,270.0,30721,176535.0,Unknown
160,Guyana,South America,786936,538,22,189,327,2,684.0,28.0,5165,6563.0,Americas
161,Tanzania,Africa,59886383,509,21,183,305,7,8.0,0.4,0,0.0,Africa
162,Taiwan,Asia,23821199,477,7,443,27,0,20.0,0.3,82737,3473.0,WesternPacific
163,Comoros,Africa,871326,396,7,340,49,0,454.0,8.0,0,0.0,Africa
164,Burundi,Africa,11922216,395,1,304,90,0,33.0,0.08,15614,1310.0,Africa
165,Myanmar,Asia,54446389,357,6,308,43,0,7.0,0.1,122290,2246.0,South-EastAsia
166,Mauritius,Africa,1271985,344,10,334,0,0,270.0,8.0,205285,161389.0,Africa
167,Isle of Man,Europe,85078,336,24,312,0,0,3949.0,282.0,8627,101401.0,Unknown
168,Mongolia,Asia,3283344,293,0,260,33,1,89.0,0.0,38334,11675.0,WesternPacific
169,Eritrea,Africa,3551175,282,0,225,57,0,79.0,0.0,0,0.0,Africa
170,Guadeloupe,North America,400131,279,14,179,86,0,697.0,35.0,18476,46175.0,Unknown
171,Martinique,North America,375235,276,15,98,163,1,736.0,40.0,12227,32585.0,Unknown
172,Faeroe Islands,Europe,48882,266,0,192,74,1,5442.0,0.0,43045,880590.0,Unknown
173,Aruba,North America,106812,263,3,114,146,0,2462.0,28.0,14047,131511.0,Unknown
174,Cambodia,Asia,16741375,243,0,210,33,1,15.0,0.0,67807,4050.0,WesternPacific
175,Trinidad and Tobago,North America,1399950,210,8,135,67,0,150.0,6.0,9559,6828.0,Americas
176,Cayman Islands,North America,65798,203,1,202,0,0,3085.0,15.0,31108,472780.0,Unknown
177,Gibraltar,Europe,33690,190,0,184,6,0,5640.0,0.0,23063,684565.0,Unknown
178,Papua New Guinea,Australia/Oceania,8963009,163,3,53,107,0,18.0,0.3,10808,1206.0,WesternPacific
179,Sint Maarten,North America,42924,160,16,64,80,3,3728.0,373.0,1115,25976.0,Unknown
180,Bermuda,North America,62254,157,9,144,4,0,2522.0,145.0,26352,423298.0,Americas
181,Brunei ,Asia,437893,141,3,138,0,0,322.0,7.0,41148,93968.0,Unknown
182,Barbados,North America,287411,133,7,100,26,0,463.0,24.0,12233,42563.0,Americas
183,Turks and Caicos,North America,38768,129,2,39,88,3,3327.0,52.0,1252,32295.0,Unknown
184,Seychelles,Africa,98408,126,0,124,2,0,1280.0,0.0,0,0.0,Africa
185,Monaco,Europe,39270,125,4,105,16,2,3183.0,102.0,38209,972982.0,Europe
186,Bhutan,Asia,772443,105,0,93,12,0,136.0,0.0,54589,70671.0,South-EastAsia
187,Antigua and Barbuda,North America,98010,92,3,76,13,1,939.0,31.0,1500,15305.0,Americas
188,Liechtenstein,Europe,38139,89,1,85,3,0,2334.0,26.0,900,23598.0,Europe
189,Belize,North America,398312,86,2,31,53,2,216.0,5.0,3679,9236.0,Americas
190,French Polynesia,Australia/Oceania,281072,64,0,62,2,0,228.0,0.0,5849,20810.0,Unknown
191,St. Vincent Grenadines,North America,110976,56,0,46,10,0,505.0,0.0,2447,22050.0,Unknown
192,Saint Martin,North America,38729,53,3,41,9,1,1368.0,77.0,1183,30546.0,Unknown
193,Macao,Asia,650193,46,0,46,0,0,71.0,0.0,4071,6261.0,Unknown
194,Curaçao,North America,164161,31,1,28,2,0,189.0,6.0,1080,6579.0,Unknown
195,Fiji,Australia/Oceania,897095,27,1,18,8,0,30.0,1.0,6693,7461.0,WesternPacific
196,Saint Lucia,North America,183712,25,0,24,1,0,136.0,0.0,3895,21202.0,Americas
197,Timor-Leste,Asia,1320812,25,0,24,1,0,19.0,0.0,4238,3209.0,South-EastAsia
198,Grenada,North America,112576,24,0,23,1,0,213.0,0.0,6252,55536.0,Americas
199,New Caledonia,Australia/Oceania,285769,22,0,22,0,0,77.0,0.0,11099,38839.0,Unknown
200,Laos,Asia,7285750,20,0,19,1,0,3.0,0.0,29374,4032.0,WesternPacific
201,Dominica,North America,72004,18,0,18,0,0,250.0,0.0,1005,13958.0,Americas
202,Saint Kitts and Nevis,North America,53237,17,0,16,1,0,319.0,0.0,1146,21526.0,Americas
203,Greenland,North America,56780,14,0,14,0,0,247.0,0.0,5977,105266.0,Europe
204,Montserrat,North America,4992,13,1,10,2,0,2604.0,200.0,61,12220.0,Unknown
205,Caribbean Netherlands,North America,26247,13,0,7,6,0,495.0,0.0,424,16154.0,Unknown
206,Falkland Islands,South America,3489,13,0,13,0,0,3726.0,0.0,1816,520493.0,Unknown
207,Vatican City,Europe,801,12,0,12,0,0,14981.0,0.0,0,0.0,Europe
208,Western Sahara,Africa,598682,10,1,8,1,0,17.0,2.0,0,0.0,Africa
